system_kanji_profile_link,company_name,capital,establishment_year,number_of_members,company_website,location,representative,system_kanji_project_count
https://system-kanji.com/services/14216,株式会社情報システム総合研究所,"4,000万円",1998年4月,,http://www.isri-inc.com/,〒 171-0022 東京都豊島区南池袋2-29-12 メトロシティ南池袋ビル5Ｆ,道正 佳月,0
https://system-kanji.com/services/14237,EGテスティングサービス株式会社,"2,500万円",2014年10月,218人,https://www.eg-testing.co.jp/,〒 171-0021 東京都豊島区西池袋5丁目14-8 東海池袋ビル7F,宮坂 誠,0
https://system-kanji.com/services/14238,アイティーサーブ株式会社,"1,700万円",2000年9月25日,,http://www.itserve.co.jp/,〒 101-0046 東京都千代田区神田多町2-8-7 神田加藤ビル3F,井若 義雄,0
https://system-kanji.com/services/13647,株式会社ソフト・ワン,"2,000万円",2007年 5月,,http://soft-one.co.jp/,〒 110-0015 東京都台東区東上野1-12-1ミヤマビル7F,野々山 洋之,0
https://system-kanji.com/services/13658,システムユース株式会社,"1,000万円",1991年3月,17名,http://system-use.co.jp/,〒 101-0051 東京都千代田区神田神保町2-10-31 IWビル2階,三塚 克則,0
https://system-kanji.com/services/13670,株式会社トムス,"1,000 万円",1989年4月20日,,http://toms-nt.co.jp/,〒 181-0013 東京都三鷹市下連雀3-2-15 住吉ビル３Ｆ,山 田 朋 穂,0
https://system-kanji.com/services/13671,株式会社ツールテクノ,"3,200万円",1998年10月6日,49名 （2019年04月01日現在）,http://tooltechno.co.jp/,〒 113-0034 東京都文京区湯島3-22-11 奥田ビル3F,川島 眞人,0
https://system-kanji.com/services/13672,株式会社トップスジャパン,"1,000万円",1990年7月,,http://tops-japan.co.jp/,〒 144-0044 東京都大田区本羽田2−5−13,堀川 幸子,0
https://system-kanji.com/services/13682,有限会社ヴィジョン・マインド,４００万円,1994年9月,,http://visionmind.co.jp/04_addrmap.html,〒 169-0073 東京都新宿区百人町１－１９－２ 大久保ユニオンビル３０３,保坂直史,0
https://system-kanji.com/services/13683,株式会社ウィーズ,"1,000万円",1991年3月,16名（2020年4月現在）,http://weeds-inc.com/,〒 171-0043 東京都豊島区要町１－４－１１サダシン要町ビル８F,新井 一正,0
https://system-kanji.com/services/13685,株式会社ハローシステム,"40,000,000円",1995年7月,,https://www.hellosystem.co.jp/,〒 160-0005 東京都新宿区愛住町19-16 富士ビル7階,中村 成寿,0
https://system-kanji.com/services/13703,株式会社エイエイエス,"8,000万円",1998年11月,166名,http://www.aasc.co.jp/,〒 105-0004 東京都港区新橋4-5-1 アーバン新橋ビル8階,西條 吉輝,0
https://system-kanji.com/services/13705,株式会社アビリティ・クリエイト,"10,000,000円",2006年5月,8名,http://www.ability-create.co.jp/,東京都台東区台東2-22-11 ツボ万ビル2階,冨田陽治,0
https://system-kanji.com/services/13713,株式会社アックスエンジニアリング,3000万円,1992年4月,12名,http://www.accse.co.jp/,〒 535-0002 大阪府大阪市旭区大宮2丁目1番22号,立花 和幸,0
https://system-kanji.com/services/13715,株式会社アックエンジニアリング,"１０,０００,０００円",1989年,,http://www.ack-eng.com/,〒 133-0063 東京都江戸川区東篠崎１－２－２０,向井 照博,0
https://system-kanji.com/services/13717,株式会社アクウェア,1000万円,2001年,27名（男性：20名 女性：7名）,http://www.acquware.com/,〒 243-0018 神奈川県厚木市中町2-7-6 LGビル7F,関野一彦,0
https://system-kanji.com/services/13720,株式会社アクロウェーブネット,,2001年05月,,http://www.acrowavenet.com/,〒 160-0022 東京都新宿区新宿2-16-8 新宿北斗ビル4階,高石智将,0
https://system-kanji.com/services/13721,アルファコンピューターシステム株式会社,2000万円,1979年,15名,https://www.acs21.com/service/info.html,〒 550-0003 大阪府大阪市西区京町堀1-8-22おおきに靱公園ビル2F,"吉田 数郎,吉田 義章",0
https://system-kanji.com/services/13724,株式会社アイネット,"1,000万円",1988年3月,,http://actinet.co.jp/,〒 169-0075 東京都新宿区高田馬場1丁目33番地6号 平和相互ビル7F,吉田 絵理,0
https://system-kanji.com/services/13725,株式会社アクティブ・ブレインズ,"2,000万円",1987年4月,35名 （2020年6月現在）,https://www.activebrains.co.jp/,〒 160-0022 東京都新宿区新宿５−９−１２ ＩＤＯ新宿３階,亀谷 剛生,0
https://system-kanji.com/services/13727,株式会社クロスアクティブ,"36,400,000円",1989年11月,102名（契約社員含む）,http://www.active.jp/,東京都千代田区二番町4-3二番町カシュービル5階,倉 智海,0
https://system-kanji.com/services/13731,アクティブゼロ株式会社,"1,000万円",2004年11月,,http://www.activezero.co.jp/,〒 105-0012 東京都港区芝大門1-2-13 MSC芝大門ビル1F,筧 雅夫,0
https://system-kanji.com/services/13732,アクトシステム株式会社,１０００万円,1984年3月,,http://www.actsystem.com/,〒 141-0031 東京都品川区西五反田５－９－２ アスペンシティ ３F,小泉秀夫,0
https://system-kanji.com/services/13739,株式会社アドービジネスコンサルタント,"払 込 資 本 金 3,050万円 自 己 資 本 14億2,400万円",1970年9月29日,,http://www.addo.co.jp/,〒 103-0007 東京都中央区日本橋浜町2-31-1浜町センタービル18F（明治座ビル）,池田 昭司,0
https://system-kanji.com/services/13753,株式会社エーアイ,700万円,2006年7月,,http://www.ai-corporation.com/index.html,〒 160-0002 東京都新宿区四谷坂町１０-１２ ガーデンタワー３７ ６階,川村 一義,0
https://system-kanji.com/services/13755,株式会社エイムシステム,1000万円,2007年10月,,http://www.aimsystem-co.jp/index.html,〒 231-0033 神奈川県横浜市中区長者町4-11-7 長者町斎藤ビル５Ｆ,松井康雄,0
